particleid,straight_line_length_2d_ft,straight_line_length_3d_ft,x_start,y_start,z_start,x_end,y_end,z_end,total_volume_cubic_ft,hyporheic_volume_cubic_ft,total_residence_time_days,total_length_ft,particle_velocity_ft_per_day,flow_rate_cubic_ft_per_day,starting_hydraulic_head,ending_hydraulic_head,hydraulic_gradient,x_cell_size_ft,y_cell_size_ft,z_cell_size_ft
213,30.942970165621343,30.95131668011932,2407278.5149272773,10515540.360625861,1604.0,2407277.7861675117,10515509.426238654,1603.28125,253489.013671875,47891.1865234375,5.303231,31.981762,5.6987734,45889.01183883275,1604.47815,1603.82471,0.021111864375693484,10.0,10.0,0.5
214,91.48945263177497,91.50388280210734,2407268.5149272773,10515550.360625861,1604.0625,2407269.598789582,10515458.877593635,1602.4375,302324.4384765625,51850.341796875,30.639826,94.62558,3.645054,38670.69333644173,1604.64209,1603.21619,0.01558294529515984,10.0,10.0,0.5
215,98.75139800097686,98.7658152570885,2407278.5149272773,10515550.360625861,1604.09375,2407276.4005473945,10515451.631866096,1602.40625,301850.732421875,50972.265625,31.18867,102.36842,3.2805314,38200.706636288916,1604.61926,1603.04468,0.01594256065118604,10.0,10.0,0.5
216,109.88804694747685,109.90568155693033,2407258.5149272773,10515560.360625861,1604.21875,2407252.9806255195,10515450.61202967,1602.25,306149.59716796875,51356.2744140625,37.268196,118.06205,1.8742203,37771.068946882224,1604.71533,1602.75085,0.017874235182123027,10.0,10.0,0.5
217,127.1630432169848,127.18027893218054,2407268.5149272773,10515560.360625861,1604.0625,2407264.3883403633,10515433.264556525,1601.96875,335378.173828125,51890.36865234375,41.22591,131.32855,2.171172,35448.92450611855,1604.69885,1602.65649,0.016058779058732955,10.0,10.0,0.5
218,132.3586980361551,132.37626056014946,2407278.5149272773,10515560.360625861,1604.125,2407272.495273957,10515428.138885139,1601.96875,321568.7744140625,51359.99755859375,45.583824,140.66608,2.2491956,35923.34689736002,1604.68787,1602.65649,0.015345500706879959,10.0,10.0,0.5
219,145.78697332743025,145.81470606915943,2407288.5149272773,10515560.360625861,1604.6875,2407272.4442485664,10515415.462127326,1601.84375,305185.29052734375,50805.9326171875,53.410103,160.89557,1.8767202,37556.19666599422,1604.69153,1602.08997,0.01784154746892369,10.0,10.0,0.5
220,102.56124943687652,102.57221790549917,2407238.5149272773,10515570.360625861,1604.0625,2407242.7474712227,10515467.886748908,1602.5625,294461.0595703125,51110.5712890625,44.762825,111.847496,1.2871169,39813.56560404765,1604.74536,1602.69922,0.019948286600227877,10.0,10.0,0.5
221,107.67138267014813,107.68611562157851,2407248.5149272773,10515570.360625861,1604.03125,2407250.18387259,10515462.702178596,1602.25,300553.6376953125,51216.19873046875,41.941948,115.64117,1.3020642,38835.056506008346,1604.74097,1602.69934,0.018959082962697743,10.0,10.0,0.5
222,137.27402711039014,137.28905453701188,2407258.5149272773,10515570.360625861,1603.96875,2407259.5314067695,10515433.09036219,1601.9375,334567.54150390625,52101.5869140625,49.00982,142.47221,1.6573211,34682.01757787525,1604.73218,1602.62671,0.01533603685377812,10.0,10.0,0.5
223,146.64810503726673,146.66350035377314,2407268.5149272773,10515570.360625861,1603.96875,2407266.867832551,10515423.72177088,1601.84375,363285.302734375,52408.30078125,54.318684,152.48752,1.74401,32557.337333060426,1604.72314,1602.36646,0.016068619624619966,10.0,10.0,0.5
